oyster genome,poly(I:C) priming,Priming poly(I:C)/T0,,,,,,Challenge Poly(I:C)+OsHV-1/10DPP,,,,FSW control,Priming FSW/T0,,,,,,Challenge FSW+OsHV-1/10DPP,,,,annotation and putative function,,,Gene ontology
CGI_10006591,not regulated,0,2.888180446,0,3.413909708,0,5.673102383,0,3.806261393,0,5.786717868,sustained,0,3.888984442,0,2.72364603,0.988778156,11.93413832,-0.788743739,5.676839126,-0.884412896,5.6770468,leucine-rich repeat-containing 74A,V/B,signaling,F:calcium ion binding
CGI_10027028,not regulated,0,7.216937681,0,5.132431779,0,5.546966271,0,4.997329179,0,5.563006592,not regulated,0,6.750482088,0,7.098518117,0,7.665784123,0,7.186038251,0,6.738136637,probable ATP-dependent DNA helicase HFM1,virus,IFN-like pathway and RLR recognition,F:nucleic acid binding; F:ATP binding; P:metabolic process; F:helicase activity
CGI_10000603,not regulated,0,4.608514992,0,5.223686221,0,5.315906271,0,6.042824757,0,6.982200862,not regulated,0,6.548139614,0,6.13187906,0,10.04356353,0,8.348081661,0,6.109740819,Baculoviral IAP repeat-containing 3,virus,apoptosis,F:phosphatase binding; F:peptidase inhibitor activity; F:zinc ion binding; P:integrin-mediated signaling pathway; P:Notch signaling pathway; P:membrane protein ectodomain proteolysis; P:negative regulation of phosphatase activity; C:integral component of membrane; C:extracellular region; F:metalloendopeptidase activity; P:negative regulation of peptidase activity
CGI_10020274,not regulated,0,3.194596756,0,3.593033683,0,5.096261738,0,4.475197552,0,5.435140603,sustained,0,3.445807759,0,3.621644106,0.708525979,7.485184183,-0.485484013,5.014916269,-0.50535425,4.873466044,multidrug resistance-associated 1-like,other,other,"F:ATP binding; F:ATPase activity, coupled to transmembrane movement of substances; P:transmembrane transport; P:metabolic process; C:integral component of membrane"
CGI_10006181,not regulated,0,3.707724305,0,4.698095272,0,4.947413097,0,5.301305164,0,4.271978838,not regulated,0,1.910013437,0,1.776395326,0,4.388580934,0,4.937021364,0,5.093208057,F-box only 18 isoform X2 [Sus scrofa],V/B,other,F:DNA binding; F:ATP binding; P:cellular macromolecule metabolic process; P:regulation of cellular process; P:DNA duplex unwinding; F:ATP-dependent DNA helicase activity; P:primary metabolic process
CGI_10026536,not regulated,0,3.22257589,0,3.820057832,0,4.814641294,0,3.878483451,0,3.833523722,challenge specific,0,3.136218048,0,2.61025084,0,2.543860963,0,2.164360818,0.908641387,4.808303583,probable E3 ubiquitin- ligase ARI5,virus,other,F:ubiquitin-protein transferase activity; F:metal ion binding; C:integral component of membrane; F:ligase activity; P:protein ubiquitination
CGI_10006158,not regulated,0,2.712573039,0,2.812910031,0,4.25513138,0,4.632720948,0,3.395504058,not regulated,0,3.343922875,0,3.114357757,0,2.407373552,0,3.129061585,0,2.729600253,Heat shock 70 kDa 12A,V/B,other,0
CGI_10009477,not regulated,0,5.408401534,0,4.473587464,0,4.236988244,0,3.662549791,0,4.336634075,sustained,0,5.227876085,0,7.68307748,0.758252889,8.93335074,0,7.13100021,0,6.004477561,fas apoptotic inhibitory molecule 1-like isoform X1 [Crassostrea gigas],virus,apoptosis,P:negative regulation of apoptotic process
CGI_10008722,not regulated,0,4.14485578,0,3.756198616,0,4.104783091,0,3.499686413,0,3.089875102,not regulated,0,1.639952484,0,2.16718128,0,3.259171902,0,3.064784754,0,3.796661866,Voltage-dependent anion-selective channel 2,other,other,C:myelin sheath; F:porin activity; P:transmembrane transport; P:negative regulation of protein polymerization; C:pore complex; C:mitochondrial outer membrane; P:anion transport; C:mitochondrial inner membrane; C:mitochondrial nucleoid; F:nucleotide binding; C:nucleus; F:voltage-gated anion channel activity; P:regulation of anion transmembrane transport; C:extracellular exosome; C:membrane raft; P:negative regulation of intrinsic apoptotic signaling pathway
CGI_10022850,not regulated,0,4.694183977,0,5.423971663,0,3.823948475,0,4.56325638,0,4.87985304,not regulated,0,4.794805126,0,5.632503525,0,6.55907658,0,6.421201524,0,5.537336818,Chloride transport 6,other,other,P:regulation of anion transmembrane transport; P:ion transmembrane transport; C:integral component of membrane; P:chloride transport; F:voltage-gated chloride channel activity
CGI_10003281,not regulated,0,3.277110594,0,3.063778526,0,3.371775709,0,2.838556643,0,2.360284702,not regulated,0,2.128850409,0,1.516406169,0,3.715347704,0,2.19789407,0,2.90227961,Toll-like receptor 6,V/B,Toll/NF-kB pathway,F:serine-type endopeptidase inhibitor activity; P:signal transduction; P:metabolic process; C:membrane; P:proteolysis; C:integral component of membrane; P:negative regulation of endopeptidase activity; F:peptidase activity; F:N-acetyltransferase activity; F:metallopeptidase activity
CGI_10019943,not regulated,0,3.91425947,0,2.254896464,0,3.018108663,0,3.752640796,0,4.858882232,priming specific,-0.99927838,1.25985566,-0.756123582,1.749576504,0,2.919490867,0,4.82680509,0,4.443228335,deoxyuridine 5 -triphosphate mitochondrial isoform X2,virus,other,F:magnesium ion binding; P:ion transport; P:transmembrane transport; C:cytoplasm; F:dUTP diphosphatase activity; C:intracellular membrane-bounded organelle; C:integral component of membrane; P:dUMP biosynthetic process; F:transporter activity; P:dUTP catabolic process
CGI_10002702,not regulated,0,1.588202904,0,2.379922679,0,2.731601038,0,4.348939437,0,3.177478927,not regulated,0,1.718330145,0,1.336930307,0,2.645852979,0,2.743998071,0,3.013896199,poly [ADP-ribose] polymerase 14- partial,virus,IFN-like pathway and RLR recognition,F:nucleotide binding
CGI_10023643,not regulated,0,1.281002722,0,1.978651013,0,2.469468239,0,2.200223602,0,2.137225629,priming specific,0.81266355,3.695168922,0,2.438875986,0,2.127353579,0,2.84293438,0,1.996790418,AAEL000556-PA [Aedes aegypti],bacteria,other,C:membrane; C:integral component of membrane; F:carbohydrate binding
CGI_10020839,not regulated,0,1.684011306,0,1.931680066,0,2.055245125,0,1.62213843,0,2.920959951,sustained,0,2.239200993,0,2.651230456,0.829835668,4.367925405,0,2.147272185,0,2.512355431,ALK tyrosine kinase receptor,other,signaling,P:peptidyl-tyrosine phosphorylation; F:protein tyrosine kinase activity; P:signal transduction; C:integral component of membrane
CGI_10012793,not regulated,0,1.094214171,0,0.767961421,0,1.511422416,0,1.56314349,0,1.454364976,not regulated,0,0.870781395,0,1.230752226,0,0.499801155,0,0.743760819,0,0.99771286,nucleoside diphosphate kinase 6,other,other,F:ATP binding; P:UTP biosynthetic process; P:CTP biosynthetic process; P:GTP biosynthetic process; C:mitochondrion; C:integral component of membrane; P:nucleoside diphosphate phosphorylation; F:nucleoside diphosphate kinase activity
CGI_10004043,not regulated,0,2.21453015,0,1.665320791,0,1.480902217,0,1.666542377,0,1.794545747,sustained,0,1.990153441,0,2.150820577,0.741527532,3.357760482,0,2.889097678,0,2.896232241,microfibril-associated glyco 4-like,V/B,signaling,0
CGI_10020742,not regulated,0,1.921071164,0,1.416867674,0,1.424258298,0,1.251602033,0,1.81199096,challenge specific,0,1.478063256,0,2.242102574,0,3.703151227,0,2.659353204,-1.024384497,1.528262441,VWFA and cache domain-containing 1,bacteria,other,C:integral component of membrane
CGI_10013660,not regulated,0,0.976935581,0,1.146164059,0,1.128121188,0,1.142525492,0,1.245663571,not regulated,0,1.442689644,0,1.06724951,0,3.213939548,0,2.537539552,0,1.460041797,hypothetical protein CGI_10013660,other,other,P:cellular macromolecule metabolic process; C:integral component of membrane; P:single-organism cellular process; P:cellular response to DNA damage stimulus; P:primary metabolic process; P:single-organism metabolic process
CGI_10006026,priming specific,0.423398874,412.386242,0.733727203,470.6620113,0,363.9469634,0,406.0501563,0,407.6680481,challenge specific,0,341.3485599,0,326.697493,0,342.4176217,0.439338258,451.2681162,0.750861766,544.0780505,histone acetyltransferase p300 isoform X2,virus,other,"F:histone acetyltransferase activity; F:zinc ion binding; F:transcription coactivator activity; P:regulation of transcription, DNA-templated; P:histone acetylation; F:transcription factor binding; C:histone acetyltransferase complex"
CGI_10010551,priming specific,0,163.8226268,-0.318589978,136.1600819,0,219.1277489,0,257.8328708,0,205.7849297,recall opposite,0,170.2353178,0,163.451706,-0.531408386,134.6925647,0.59447218,195.6292987,0.724592052,209.5071478,methionine synthase isoform X1,bacteria,other,P:methionine biosynthetic process; P:pteridine-containing compound metabolic process; F:methionine synthase activity; F:zinc ion binding; F:cobalamin binding; C:integral component of membrane; C:cytosol; F:S-adenosylmethionine-homocysteine S-methyltransferase activity; P:methylation
CGI_10006621,priming specific,0,67.18499399,-0.309780122,57.84167943,0,75.67419311,0,59.1703782,0,76.27251014,challenge specific,0,78.84745299,0,80.09217505,0,87.69176352,0,67.23688815,-0.436233975,60.39305177,polycomb complex BMI-1,other,other,P:chromatin modification; C:nuclear part; P:chordate embryonic development; F:zinc ion binding; P:nervous system development; P:animal organ development; C:protein complex; F:chromatin binding; P:single-organism cellular process; P:primary metabolic process; P:macromolecule modification; P:negative regulation of gene expression; P:skeletal system development; P:cellular macromolecule metabolic process; P:positive regulation of cellular process; P:regulation of catalytic activity; P:regulation of primary metabolic process; P:regulation of cellular metabolic process
CGI_10013956,priming specific,0.294027745,53.64616752,0,47.17922964,0,54.03568665,0,50.48945825,0,57.82802339,sustained,0.468037142,59.85673555,0.462880802,58.94749838,0.617418948,71.26602315,0,59.12752826,-0.528481579,45.88947271,NAD-dependent deacetylase sirtuin-7,virus,other,P:negative regulation of transcription from RNA polymerase II promoter; P:positive regulation of transcription involved in exit from mitosis; F:protein binding; P:rRNA transcription; F:chromatin binding; P:histone H4 deacetylation; F:NAD+ binding; C:nucleolus organizer region; F:NAD-dependent histone deacetylase activity (H3-K18 specific); P:histone H3 deacetylation
CGI_10018916,priming specific,3.83466607,268.8264798,-0.365415632,243.1612793,0,305.1161476,0,292.0801068,0,301.6255366,sustained,-0.375601021,257.6296071,-0.399945694,250.8131505,-0.526222594,250.0424491,0,284.1195641,0.258140925,280.4156314,CREB-binding -like,virus,IFN-like pathway and RLR recognition,"F:histone acetyltransferase activity; F:zinc ion binding; F:transcription coactivator activity; P:regulation of transcription, DNA-templated; P:histone acetylation; C:histone acetyltransferase complex"
CGI_10021857,priming specific,0.348671153,236.9984433,0.472097552,238.5502159,0,215.9168593,0,218.4682311,0,242.2152262,sustained,0,222.9519396,0.501807584,257.9557628,0.724019483,326.4051264,0,277.2858582,0,305.3215282,DPY30 domain-containing 1,other,other,"C:Set1C/COMPASS complex; F:histone methyltransferase activity (H3-K4 specific); C:chromosome, telomeric region; C:integral component of membrane; P:chromatin silencing at telomere; P:histone H3-K4 methylation"
CGI_10019785,priming specific,1.414270567,91.14655292,0,95.91421902,0,130.5561783,0,168.8964988,0,163.9855054,sustained,0,119.5939314,-0.426038725,97.73295477,0.382250156,191.08239,0,149.1373151,0,174.6187856,hypothetical protein CGI_10019785,other,other,"C:nucleus; F:DNA binding; P:regulation of transcription, DNA-templated; C:chromatin"
CGI_10014473,priming specific,0.23313182,4681.318855,0.418016897,4905.054518,0,4262.072979,0,3757.710638,0,3852.957848,recall opposite,0.45541283,5387.993378,0.451328481,5317.129666,0,4631.417992,-0.245962446,3725.184211,0,4314.315928,ATP-dependent RNA helicase DDX5 [Aplysia californica],virus,IFN-like pathway and RLR recognition,F:nucleic acid binding; F:ATP binding; P:metabolic process; F:helicase activity
CGI_10027197,priming specific,0,4873.011145,0.265782977,4937.021883,0,4087.082063,0,5516.19448,0,4608.338821,recall,0,4620.43614,0.320427722,5415.781027,0,5098.2405,0,5168.307926,0.359291632,6137.908544,60S ribosomal L35,other,other,"P:maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); P:chordate embryonic development; P:erythrocyte differentiation; F:structural constituent of ribosome; C:membrane; F:mRNA binding; C:cytosolic large ribosomal subunit; P:regulation of cell cycle; P:translation"
CGI_10026305,priming specific,4.042872135,1815.747981,0,1994.216692,0,2178.537808,0,2890.839249,0,2657.673956,recall opposite,-0.45692507,1628.776655,-0.433245288,1642.43841,-0.459005249,1760.223253,0.596022679,2569.841933,0.841891388,2976.055724,CCAAT enhancer-binding gamma,V/B,signaling,"P:positive regulation of DNA repair; F:protein homodimerization activity; P:B cell differentiation; F:RNA polymerase II core promoter proximal region sequence-specific DNA binding, bending; P:transcription from RNA polymerase II promoter; P:enucleate erythrocyte differentiation; P:negative regulation of sequence-specific DNA binding transcription factor activity; F:transcription factor binding; P:natural killer cell mediated cytotoxicity; P:positive regulation of DNA binding; P:positive regulation of transcription from RNA polymerase II promoter; P:positive regulation of sequence-specific DNA binding transcription factor activity; C:nucleoplasm; F:transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding; P:mRNA metabolic process; P:positive regulation of interferon-gamma biosynthetic process; F:protein heterodimerization activity; P:liver development"
CGI_10016949,priming specific,0.252232931,2455.986714,0.591750107,2868.530321,0,1863.287144,0,1906.079331,0,1951.551853,recall opposite,0.182233803,2301.920984,0.314935846,2501.834453,-0.344457536,1714.412133,0.421521707,2204.052559,0.853126866,2917.693437,Nuclear Factor of Kappa light polypeptide gene enhancer in b(B)-cells n [Caenorhabditis elegans],V/B,Toll/NF-kB pathway,"F:DNA binding; C:nucleus; F:transcription factor activity, sequence-specific DNA binding; C:cytoplasm; P:transcription, DNA-templated; P:signal transduction; P:apoptotic process; P:regulation of transcription, DNA-templated; F:transcription factor binding; P:regulation of transcription from RNA polymerase II promoter"
CGI_10002812,priming specific,2.74158423,788.6173484,0,882.279464,0,1316.793297,0,1520.929415,0,1411.63835,recall opposite,-0.55704659,710.6336042,-0.424352146,776.2510155,0,1191.614582,0.433460553,1550.430384,0.513152341,1602.316081,tryptophan--tRNA cytoplasmic,other,other,C:nucleus; F:ATP binding; C:extracellular exosome; C:cytoplasm; P:regulation of angiogenesis; P:tryptophanyl-tRNA aminoacylation; F:tryptophan-tRNA ligase activity
CGI_10026602,priming specific,0,1060.637483,-0.308877883,884.1747614,0,1065.632998,0,935.6751041,0,882.1199501,sustained,0,1047.4656,-0.307858246,933.4214736,-0.65205742,799.3605667,0,695.1858891,0,698.5535056,chitinase 3,V/B,other,F:chitinase activity; P:carbohydrate metabolic process; F:chitin binding; P:chitin catabolic process; C:extracellular region
CGI_10024464,priming specific,0,1197.428951,0.349881849,1257.146231,0,1042.723737,0,1195.108683,0,1069.846318,sustained,0.220074243,1227.473151,0.427455052,1404.210207,0.443042535,1541.486433,0,1445.157324,0,1552.948809,pescadillo homolog,other,other,"P:maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); P:system development; F:ribonucleoprotein complex binding; C:nucleolus; P:maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); C:nucleoplasm; C:preribosome, large subunit precursor"
CGI_10013041,priming specific,0,749.4233259,0.239568212,876.3604482,0,825.2531105,0,735.7951657,0,920.2462801,sustained,0,876.1603317,0.419430735,1050.693643,0.513743378,1219.035125,0,1065.687528,0,1076.033121,asparagine synthetase [glutamine-hydrolyzing],other,other,F:protein homodimerization activity; P:regulation of cellular process; P:asparagine biosynthetic process; P:glutamine metabolic process; C:cytosol; F:asparagine synthase (glutamine-hydrolyzing) activity
CGI_10021675,priming specific,0.505595651,880.4113544,0.430748302,768.7344843,0,698.4362052,0,696.3790167,0,691.3481586,recall opposite,0.569008353,905.942097,0.582721992,904.9405899,-0.22098997,560.1380268,0,619.9678343,0.338598406,664.5411382,eukaryotic translation initiation factor 3 subunit B,other,other,"C:eukaryotic 48S preinitiation complex; P:regulation of translational initiation; C:nucleoplasm; F:nucleotide binding; F:translation initiation factor activity; F:protein complex scaffold; P:IRES-dependent viral translational initiation; P:formation of translation preinitiation complex; C:extracellular exosome; C:eukaryotic translation initiation factor 3 complex, eIF3m; C:eukaryotic 43S preinitiation complex; C:cytosol; F:translation initiation factor binding; P:viral translational termination-reinitiation"
CGI_10005580,priming specific,0,755.2682642,0.536886838,896.6769714,0,695.1879888,0,620.6022349,0,655.4061257,recall opposite,-0.274086293,542.14704,-0.237637353,550.8714625,-0.255909519,592.3022337,0,670.8502305,0.632461132,862.0803517,serine threonine- kinase Nek4-like,V/B,signaling,F:ATP binding; F:receptor signaling protein serine/threonine kinase activity; C:cytoplasm; P:regulation of cell aging; P:regulation of cellular response to stress; F:manganese ion binding; P:signal transduction by protein phosphorylation; P:mitotic cell cycle; P:response to stress
CGI_10020409,priming specific,5.422237314,554.8651217,0.262480445,704.8732393,0,691.8318492,0,554.557173,0,654.7567185,recall opposite,0,568.8193407,0.308749741,772.8675707,0.393648068,887.0643197,-0.38032503,647.6392275,-0.400918264,627.2206265,glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2-like isoform X5,other,other,P:carbohydrate metabolic process; F:glutamine-fructose-6-phosphate transaminase (isomerizing) activity; P:carbohydrate derivative biosynthetic process; F:carbohydrate binding
CGI_10027058,priming specific,4.771593362,533.0225052,0,518.0940711,0,682.9696906,0,698.1381471,0,741.4850952,sustained,-0.285192853,517.2576939,-0.258839332,521.8211671,-0.211326016,587.5800723,0,621.8790246,0,624.2054093,hepatocyte nuclear factor 4-gamma-like isoform X1,virus,signaling,"C:nucleus; F:transcription factor activity, sequence-specific DNA binding; F:zinc ion binding; P:transcription, DNA-templated; F:steroid hormone receptor activity; P:regulation of transcription, DNA-templated; F:sequence-specific DNA binding; P:steroid hormone mediated signaling pathway"
CGI_10009679,priming specific,0.303560933,747.584251,0,516.3330258,0,612.1087468,0,520.4636131,0,756.3314781,sustained,0,629.2144564,0,673.2646811,0.468634816,888.8695332,0,689.0488698,0,792.6981345,cilia- and flagella-associated 20,other,other,P:protein polyglutamylation; C:extracellular exosome; P:cilium morphogenesis; C:centriole; C:ciliary basal body; P:regulation of cilium beat frequency involved in ciliary motility; P:positive regulation of feeding behavior; C:nucleoplasm; C:microtubule; F:poly(A) RNA binding; P:positive regulation of cell motility
CGI_10021115,priming specific,0,681.2119695,0.294240614,655.631613,0,576.5996145,0,523.1438744,0,558.5362844,sustained,0,676.1358138,0.34180155,718.6145953,0.435842224,833.4870974,0,715.4033509,-0.330734355,617.3921498,golgin subfamily A member 6 22 [Crassostrea gigas],other,other,P:regulation of apoptotic process
CGI_10009677,priming specific,0.324396924,590.6268226,0,501.9892646,0,538.1985043,0,559.2627315,0,531.829525,recall,0.279364903,564.3629209,0.252422972,547.794816,0,444.3073004,0,491.7950796,0.368576394,538.8369727,26S proteasome non-ATPase regulatory subunit 7-like,other,other,"P:cell proliferation; C:dendrite; P:mitotic spindle elongation; P:proteasome-mediated ubiquitin-dependent protein catabolic process; P:neurogenesis; C:proteasome regulatory particle, lid subcomplex"
CGI_10006542,priming specific,0,398.1069289,0.748020796,765.1482392,0,517.7714268,0,857.8441665,0,607.8259624,recall opposite,-0.625763114,292.2176416,-0.607680563,293.779418,0,377.3131214,1.406825602,1018.215582,1.93756548,1424.603507,bcl-2 1,virus,apoptosis,C:membrane; P:apoptotic signaling pathway; F:protein dimerization activity; P:regulation of apoptotic process
CGI_10004657,priming specific,0,536.36386,0.389470575,555.782074,0,473.907871,0,530.7231704,0,478.7288587,recall opposite,0,496.1549242,0,424.3300122,-0.436282158,355.4485351,0,432.0949785,0.75147374,567.1596635,ADP-ribosylation factor 6 isoform X1 [Anolis carolinensis],V/B,Toll/NF-kB pathway,P:intermembrane transport; P:small GTPase mediated signal transduction; P:regulation of Notch signaling pathway; P:protein transport; P:brain development; P:fat cell differentiation; P:visual perception; P:determination of left/right symmetry; P:gastrulation; P:regulation of smoothened signaling pathway; F:GTP binding; C:extracellular exosome; P:protein localization to nonmotile primary cilium; C:membrane; P:cilium assembly; P:Kupffer's vesicle development; C:cilium; P:retina layer formation; C:cytosol; P:Wnt signaling pathway; P:pectoral fin development; P:melanosome transport
CGI_10013889,priming specific,1.856708455,324.0064054,-0.366369251,329.4318674,0,473.6326598,0,449.4789424,0,409.3352336,sustained,-0.404402964,341.3821393,-0.374961707,345.8168601,-0.5934347,323.3645389,0,277.8257644,0,327.6054088,Peptidylglycine alpha-hydroxylating monooxygenase,other,other,"F:copper ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen; P:peptide metabolic process; C:membrane; P:oxidation-reduction process"
CGI_10025492,priming specific,0,459.3160314,0.353368587,509.4202684,0,468.0903501,0,489.9971215,0,516.3904864,not regulated,0,438.3815354,0,433.8031736,0,485.6201856,0,541.402015,0,563.6457332,Tripartite motif-containing 2,virus,IFN-like pathway and RLR recognition,F:zinc ion binding; C:intracellular
CGI_10011081,priming specific,0.356384602,556.6634719,0,433.6445465,0,446.5602018,0,380.4850927,0,415.7866071,priming specific,0.540834055,624.619264,0.500608763,600.2128345,0,397.9008786,0,386.222963,0,366.2727914,heat shock 60,V/B,other,F:ATP binding; C:cytoplasm; P:protein refolding
CGI_10016536,priming specific,3.990820619,353.5292867,0,355.335292,0,442.5920672,0,486.8936014,0,463.0499766,sustained,-0.318551569,349.8764006,0,376.591141,0.308739393,587.25196,0,557.2922072,0,508.41868,inositol oxygenase-like,other,signaling,F:inositol oxygenase activity; C:cytoplasm; F:iron ion binding; P:inositol catabolic process; P:oxidation-reduction process
CGI_10024293,priming specific,0.331308768,494.9499827,0.685588122,584.4282336,0,432.27743,0,468.7675535,0,414.9914962,recall opposite,0,341.1858269,0,369.3835944,-0.273814793,343.4837511,0.468630705,456.7679191,0.899995135,605.3140129,heat shock 70 kDa 12B-like [Crassostrea gigas],V/B,other,C:membrane; C:integral component of membrane
CGI_10028473,priming specific,0.347214485,213.9554393,-0.403958726,248.0854607,0,408.0809092,0,407.1985231,0,371.9414022,sustained,-0.648622919,222.716298,-0.72628965,208.7651541,-0.83142674,211.5464923,0,226.1717316,0.362220483,255.255285,E3 ubiquitin- ligase ZNRF3-like,virus,other,F:ubiquitin-protein transferase activity; F:zinc ion binding; C:anaphase-promoting complex; C:integral component of membrane; P:protein ubiquitination
CGI_10026832,priming specific,0,405.7144543,0.229780624,423.6471638,0,391.4527291,0,356.3109167,0,336.9746798,recall opposite,0.237935225,455.4409083,0.34677245,486.4496557,0.329906413,522.7438107,-0.546058917,339.2842859,-0.539082362,335.1435031,lys-63-specific deubiquitinase BRCC36,virus,IFN-like pathway and RLR recognition,P:positive regulation of DNA repair; P:response to X-ray; F:polyubiquitin binding; C:nucleoplasm; F:metallopeptidase activity; P:double-strand break repair; F:thiol-dependent ubiquitin-specific protease activity; C:nuclear ubiquitin ligase complex; C:BRISC complex; P:regulation of catalytic activity; C:BRCA1-A complex; P:G2 DNA damage checkpoint; P:histone H2A K63-linked deubiquitination; F:enzyme regulator activity
CGI_10006977,priming specific,0,402.6996743,0.267581647,374.9724618,0,375.9595854,0,308.897814,0,379.092717,sustained,0,377.8820991,0,392.6717699,0.589364,540.6974393,0,416.9349252,0,445.7938076,dnaJ homolog subfamily B member 13-like,virus,other,F:unfolded protein binding; P:protein folding
CGI_10027107,priming specific,0.583552174,526.7012361,0.485067167,451.6276327,0,375.7235013,0,381.1924553,0,365.1474092,recall opposite,0.510085468,492.1955682,0.650495354,537.6017409,-0.313670256,296.7060384,0,340.8486677,0.579764359,417.0136528,eukaryotic translation initiation factor 3 subunit M,other,other,F:translation initiation factor activity; P:formation of translation preinitiation complex; C:eukaryotic 43S preinitiation complex; P:cytoplasmic translational initiation; C:eukaryotic 48S preinitiation complex; P:regulation of translational initiation; C:eukaryotic translation initiation factor 3 complex
CGI_10015439,priming specific,0,421.983583,0.329002827,465.0899069,0,343.5221934,0,370.669399,0,392.7546935,recall opposite,-0.509844825,273.0091845,-0.543725389,264.5269312,-0.575652475,282.7212873,0.894633974,514.3310887,1.071649037,562.2534021,caspase-3-like [Lingula anatina],virus,apoptosis,P:proteolysis; P:apoptotic process; F:cysteine-type endopeptidase activity
CGI_10028147,priming specific,0.297138321,438.8067283,0,347.3626988,0,341.1590234,0,324.0239461,0,314.808148,sustained,0,389.1892653,0,370.2523109,-0.440008457,276.6493188,0,250.0254686,0,236.1737237,delta-1-pyrroline-5-carboxylate synthase-like isoform X2,other,other,F:glutamate 5-kinase activity; C:cytoplasm; F:glutamate-5-semialdehyde dehydrogenase activity; P:proline biosynthetic process; P:oxidation-reduction process; P:phosphorylation
CGI_10000852,priming specific,0,364.0063721,0.319982254,404.3047909,0,337.3916435,0,337.608371,0,299.0963928,recall opposite,0,328.8238754,0,335.9428779,-0.854987105,203.5145217,0.472567285,271.4592427,0.862638652,349.8532754,baculoviral IAP repeat-containing 3-like [Crassostrea gigas],virus,apoptosis,P:inhibition of cysteine-type endopeptidase activity involved in apoptotic process; C:nucleus; C:spindle microtubule; F:ubiquitin-protein transferase activity; F:zinc ion binding; C:cytoplasm; F:cysteine-type endopeptidase inhibitor activity involved in apoptotic process; P:regulation of signal transduction; P:protein autoubiquitination; P:mitotic spindle assembly
CGI_10009320,priming specific,0.835832088,486.5811497,0.913206695,471.4276314,0,336.820725,0,383.7237112,0,384.3687611,recall,0.397619283,350.1585631,0.599578816,400.152462,0,326.7739223,0.566349191,469.7941999,0.713952145,507.1489849,non-homologous end-joining factor 1-like,other,other,C:nucleus; F:DNA binding; P:DNA recombination; P:double-strand break repair
CGI_10022387,priming specific,2.06491452,263.1407162,-0.770221932,202.8273669,0,318.0427753,0,355.2327983,0,363.311238,recall,-0.372479946,288.2325504,0,333.915832,0,436.1099171,-0.65257078,255.2994707,0,308.5693854,universal stress A,V/B,other,P:response to stress
CGI_10023361,priming specific,5.109928217,287.6504158,0,327.3592332,0,315.2807245,0,308.3944425,0,336.470501,recall opposite,-0.228982219,281.1444777,-0.283030291,268.0243118,-0.308760462,285.9256536,0.325865779,344.4211865,0.504017343,382.7785212,ubiquitin carboxyl-terminal hydrolase 15 isoform X2,virus,other,F:identical protein binding; P:monoubiquitinated protein deubiquitination; F:transforming growth factor beta receptor binding; F:cysteine-type endopeptidase activity; P:transforming growth factor beta receptor signaling pathway; F:ubiquitinated histone binding; P:pathway-restricted SMAD protein phosphorylation; P:ubiquitin-dependent protein catabolic process; F:thiol-dependent ubiquitin-specific protease activity; C:nucleus; F:SMAD binding; C:cytoplasm; P:BMP signaling pathway; P:histone H2B conserved C-terminal lysine deubiquitination
CGI_10026913,priming specific,0.393212952,355.950738,0.350148368,318.33459,0,313.3644858,0,317.8109705,0,286.7596071,recall opposite,0.356987392,341.9392994,0.42802898,355.4339459,-0.230265554,243.736121,0,251.1897861,0.354980457,292.4845195,T-complex 1 subunit beta,other,other,C:myelin sheath; F:unfolded protein binding; P:protein folding; P:toxin transport; C:zona pellucida receptor complex; C:microtubule; C:chaperonin-containing T-complex; F:ATP binding; P:binding of sperm to zona pellucida; C:extracellular exosome; F:ubiquitin protein ligase binding; C:cell body; P:chaperone-mediated protein complex assembly
CGI_10024759,priming specific,4.79761912,276.887946,0,312.9325037,0,307.6135728,0,386.7054815,0,369.5619334,recall opposite,0,340.3390391,0,362.9735244,-0.250386256,295.5533163,0,338.7355742,0.319817592,346.0647747,ubiquitin-like-conjugating enzyme ATG3,virus,autophagy,C:cytoplasm; P:autophagy; P:protein transport
CGI_10013567,priming specific,0.462374562,396.6933674,0.363186407,340.6822172,0,300.7930045,0,290.0100668,0,297.3417155,recall opposite,0.33519513,357.4219414,0.412942484,373.6167304,-0.253339355,254.3271697,0,279.3311086,0.397994429,314.6827054,T-complex 1 subunit eta,other,other,C:chaperonin-containing T-complex; F:ATP binding; F:identical protein binding; P:binding of sperm to zona pellucida; C:extracellular exosome; C:mitochondrion; C:cell body; F:unfolded protein binding; P:protein folding; P:toxin transport; C:zona pellucida receptor complex; C:microtubule
